Chapter,Location,Context esp,Context eng,Latitude,Longitude,Number of Characters,Character 1,Character 2,Character 3,Exactness,Exact,Reality,Page,Section,Category,Structure type,Date in novel
1,"Iglesia de Santa María de la Gracia, Milán",investigadores encuentran otro discipulo en el cuadro de Da Vinci,,,,,,,,1,,Real,11,,Victim,Monument,
2,"Cafetería de comisaría Nacional de Policía, avenida Blas Infante",Jiménez con compañeros de policía,,37.375934,-6.006023,,Jiménez,,,1,,Real,"14, 17",,Investigator,Municipal,
3,"Despacho de Acosta, Roma",Oficina de Antonio Acosta,,,,,,,,5,,Fictional,16,,Victim,Municipal,
5,Ciudad del Vaticano,Antonio Acosta se reúne con un Cardenal,,,,,,,,5,,Real,19,,Victim,Monument,
6,"Comisaría Policía Nacional, avenida Blas Infante","Jiménez está castigado, no sale a la calle.  Atiende a un caso de denuncia de robo",,37.375934,-6.006023,,Jiménez,,,1,,Real,23,,Investigator,Municipal,
7,"Despacho de Acosta, Roma","Acosta habla con su estudiante, Lucía",,,,,Lucía,,,5,,Fictional,"29, 34",,Victim,Municipal,
8,"Despacho de Cardenal Daoiz, Vaticano",Daoiz encarga a Calígula para acabar con el descubrimiento de Acosta,,,,,Calígula,,,5,,Fictional,32,,Suspect,Monument,
10,"Comisaría Policía Nacional, avenida Blas Infante",Jiménez sigue tomando declaraciones,,37.375934,-6.006023,,Jiménez,,,1,,Real,36,,Investigator,Municipal,
11,Afuera del edificio de Acosta,"Lucía llega justo cuando la policía levanta el cadáver de Acosta, asesinado",,,,,Lucía,,,5,,Fictional,40,,Dead Body,Municipal,
12,"Despacho de Cardenal Daoiz, Vaticano",Daoiz se enfada con Calígula por el asesinato,,,,,Calígula,,,5,,Fictional,41,,Suspect,Monument,
13,"Despacho de Acosta, Roma",Lucía examina los papeles de Acosta con la policía italiana,,,,,Lucía,,,5,,Fictional,43,,Investigator,Municipal,
14,"Bar Las Golondrinas, calle Antonio Campos",Calígula tortura y mata a un miembro de Serva la Bari,,37.384853,-6.005495,,Calígula,,,1,,Real,47,,Dead Body,Business,
15,"Comisaría Policía Nacional, avenida Blas Infante",Jiménez habla con Villanueva por teléfono,,37.375934,-6.006023,,Jiménez,Villanueva,,1,,Real,50,,Investigator,Municipal,
16,Santa Justa,Lucía llega a Sevilla en AVE,,37.392186,-5.975493,,Lucía,,,1,,Real,54,,Investigator,Transport,
17,Calle Antonio Campos,Andalucía Directo hace un reportaje sobre el cadáver encontrado en Las Golondrinas,,37.384853,-6.005495,,,,,1,,Real,56,,Victim,Exterior,
18,"Comisaría Policía Nacional, avenida Blas Infante","La comisaria da órdenes para empezar la investigación, Jiménez pide incorporarse a la investigación, sin éxito",,37.375934,-6.006023,,Jiménez,,,1,,Real,58,,Investigator,Municipal,
19,"Guarida de Calígula, un gran local vacío","No se sabe la ubicación exacta.  Calígula habla por teléfono con Daoiz, sigue con el encargo",,,,,Calígula,,,5,,Fictional,60,,Suspect,Business,
20,Catedral de Sevilla,Lucía hace un tour de la catedral para ver si los datos de Acosta son correctos,,37.385689,-5.993271,,Lucía,,,1,,Real,62,,Investigator,Monument,
22,"Comisaría Policía Nacional, avenida Blas Infante",Reunión en grupo sobre el caso,,37.375934,-6.006023,,Jiménez,,,1,,Real,66,,Investigator,Municipal,
23,La capilla del Carmen,Calígula asesina a otro en la capilla del Carmen,,37.385751,-6.003035,,Calígula,,,1,,Real,70,,Dead Body,Monument,
24,"Comisaría Policía Nacional, avenida Blas Infante","Jiménez intenta convencer a la comisaria poder participar en el caso.  Conoce a Lucía y cuando se entera de su relación al caso, llama a Villanueva",,37.375934,-6.006023,,Jiménez,Lucía,,1,,Real,74,,Investigator,Municipal,
26,Plazoleta de barrio,Dos ladrones revisan los contenidos de la mochila de Lucía.  Ubicación no exacta,,37.390442,-5.990914,,,,,5,,Fictional,79,,Suspect,Exterior,
27,Oficina del forense,"Villanueva y Jiménez visitan al forense.  Ubicación no exacta, debe estar cerca del hospital Virgen Macarena",,37.40703,-5.988515,,Jiménez,Villanueva,,3,,Real,81,,Investigator,Municipal,
28,Un cortijo andaluz,"Villanueva y Jiménez aquí para hablar con Serva la Bari.  Ubicación no exacta, he elegido uno como ejemplo",,37.423724,-6.076587,,Jiménez,Villanueva,,5,,Fictional,86,,Investigator,Business,
30,"Estudio de grabación ""Ejemplo de sevillanía""","Calígula vuelve a actuar.  El estudio no existe, he elegido otro ejemplo",,37.385477,-5.966569,,Calígula,,,5,,Fictional,94,,Suspect,Business,
33,"Comisaría Policía Nacional, avenida Blas Infante",Villanueva y Jiménez hablan con la comisaría sobre el caso,,37.375934,-6.006023,,Jiménez,Villanueva,,1,,Real,100,,Investigator,Municipal,
35,Santa Justa,Villanueva y Jiménez van a coger el AVE en coche,,37.392186,-5.975493,,Jiménez,Villanueva,,1,,Real,106,,Investigator,Transport,
36,"Despacho de Cardenal Daoiz, Vaticano",Daoiz recibe órdenes de parar a Calígula,,,,,,,,5,,Fictional,108,,Suspect,Monument,
